id,title,question,answer,category,type,difficulty,audience
599,How can I change notification preferences?,How can I change notification preferences?,This procedure requires advance planning and proper documentation. Students should review all requirements carefully and submit applications before established deadlines. Late submissions may not be accepted or may incur additional fees. Additional information and support resources are available through the appropriate university department or office.,Registration,faq,advanced,faculty
600,How can I change password?,How can I change password?,This service is available through the university website and student portal. Students must meet certain eligibility requirements and provide necessary documentation. Processing times vary depending on the request complexity. Additional information and support resources are available through the appropriate university department or office.,Emergency Procedures,faq,basic,faculty
601,How can I access student organizations list?,How can I access student organizations list?,"To complete this process, students should first log into the student portal and navigate to the appropriate section. Detailed instructions and forms are available online. For additional assistance, contact the relevant department during business hours. Additional information and support resources are available through the appropriate university department or office.",Research Guidelines,faq,basic,undergraduate
602,How can I resolve account access?,How can I resolve account access?,"The university provides comprehensive support for this process through multiple channels. Students can access resources online, schedule appointments with advisors, or attend information sessions held throughout the year. Additional information and support resources are available through the appropriate university department or office.",Student Organizations,faq,intermediate,all_students
603,What is the procedure for degree audit?,What is the procedure for degree audit?,This procedure requires advance planning and proper documentation. Students should review all requirements carefully and submit applications before established deadlines. Late submissions may not be accepted or may incur additional fees. Additional information and support resources are available through the appropriate university department or office.,IT Services,faq,advanced,undergraduate
604,What are the hours for counseling?,What are the hours for counseling?,"To complete this process, students should first log into the student portal and navigate to the appropriate section. Detailed instructions and forms are available online. For additional assistance, contact the relevant department during business hours. Additional information and support resources are available through the appropriate university department or office.",Academic Planning,faq,advanced,graduate
605,What are the policies regarding technology usage?,What are the policies regarding technology usage?,"To complete this process, students should first log into the student portal and navigate to the appropriate section. Detailed instructions and forms are available online. For additional assistance, contact the relevant department during business hours. Additional information and support resources are available through the appropriate university department or office.",Housing Information,faq,advanced,all_students
606,Where is the library located?,Where is the library located?,This service is available through the university website and student portal. Students must meet certain eligibility requirements and provide necessary documentation. Processing times vary depending on the request complexity. Additional information and support resources are available through the appropriate university department or office.,Research Guidelines,faq,advanced,undergraduate
607,How do I cancel tutoring?,How do I cancel tutoring?,"The university provides comprehensive support for this process through multiple channels. Students can access resources online, schedule appointments with advisors, or attend information sessions held throughout the year. Additional information and support resources are available through the appropriate university department or office.",Student Support,faq,intermediate,faculty
608,How do I schedule library services?,How do I schedule library services?,This procedure requires advance planning and proper documentation. Students should review all requirements carefully and submit applications before established deadlines. Late submissions may not be accepted or may incur additional fees. Additional information and support resources are available through the appropriate university department or office.,Event Management,faq,basic,undergraduate
609,How do I cancel health services?,How do I cancel health services?,"This procedure requires advance planning and proper documentation. Students should review all requirements carefully and submit applications before established deadlines. Late submissions may not be accepted or may incur additional fees. For technical issues, students should first try basic troubleshooting steps including clearing browser cache and checking internet connectivity. If problems persist, submit a help desk ticket with detailed error messages and screenshots.",Technical Support,faq,basic,graduate
610,How can I update academic record?,How can I update academic record?,Students can complete this process independently through online systems or with assistance from university staff. Training materials and video tutorials are available to guide students through each step of the process. Additional information and support resources are available through the appropriate university department or office.,Housing Information,faq,intermediate,all_students
611,Where can I find parking information?,Where can I find parking information?,This procedure requires advance planning and proper documentation. Students should review all requirements carefully and submit applications before established deadlines. Late submissions may not be accepted or may incur additional fees. Financial aid applications require accurate and complete information. Students should submit all required documents by stated deadlines and respond promptly to any requests for additional information from the financial aid office.,Financial Aid,faq,intermediate,all_students
612,What is the cost of library services?,What is the cost of library services?,This procedure requires advance planning and proper documentation. Students should review all requirements carefully and submit applications before established deadlines. Late submissions may not be accepted or may incur additional fees. Additional information and support resources are available through the appropriate university department or office.,IT Services,faq,advanced,graduate
613,What are the requirements for transcript requests?,What are the requirements for transcript requests?,This procedure requires advance planning and proper documentation. Students should review all requirements carefully and submit applications before established deadlines. Late submissions may not be accepted or may incur additional fees. Additional information and support resources are available through the appropriate university department or office.,Online Learning,faq,advanced,undergraduate
614,How can I change notification preferences?,How can I change notification preferences?,Students can complete this process independently through online systems or with assistance from university staff. Training materials and video tutorials are available to guide students through each step of the process. Additional information and support resources are available through the appropriate university department or office.,Food Services,faq,basic,graduate
615,What are the steps to request accommodations?,What are the steps to request accommodations?,This procedure requires advance planning and proper documentation. Students should review all requirements carefully and submit applications before established deadlines. Late submissions may not be accepted or may incur additional fees. Additional information and support resources are available through the appropriate university department or office.,Research Guidelines,faq,advanced,faculty
616,How do I cancel counseling?,How do I cancel counseling?,"The university provides comprehensive support for this process through multiple channels. Students can access resources online, schedule appointments with advisors, or attend information sessions held throughout the year. Additional information and support resources are available through the appropriate university department or office.",Research Guidelines,faq,advanced,undergraduate
617,How can I update payment method?,How can I update payment method?,"To complete this process, students should first log into the student portal and navigate to the appropriate section. Detailed instructions and forms are available online. For additional assistance, contact the relevant department during business hours. Additional information and support resources are available through the appropriate university department or office.",Career Development,faq,basic,all_students
618,How can I access lab equipment?,How can I access lab equipment?,This service is available through the university website and student portal. Students must meet certain eligibility requirements and provide necessary documentation. Processing times vary depending on the request complexity. Additional information and support resources are available through the appropriate university department or office.,Parking & Transportation,faq,advanced,all_students
619,How can I resolve account access?,How can I resolve account access?,This procedure requires advance planning and proper documentation. Students should review all requirements carefully and submit applications before established deadlines. Late submissions may not be accepted or may incur additional fees. Additional information and support resources are available through the appropriate university department or office.,Academic Resources,faq,advanced,graduate
620,What is the deadline for course withdrawal?,What is the deadline for course withdrawal?,Students can complete this process independently through online systems or with assistance from university staff. Training materials and video tutorials are available to guide students through each step of the process. Additional information and support resources are available through the appropriate university department or office.,Academic Planning,faq,intermediate,graduate
621,What are the hours for tutoring?,What are the hours for tutoring?,Students can complete this process independently through online systems or with assistance from university staff. Training materials and video tutorials are available to guide students through each step of the process. Library services are designed to support academic success and research activities. Students should familiarize themselves with available resources and attend orientation sessions to maximize their library experience.,Library Resources,faq,intermediate,graduate
622,Where is the cafeteria located?,Where is the cafeteria located?,Students can complete this process independently through online systems or with assistance from university staff. Training materials and video tutorials are available to guide students through each step of the process. Additional information and support resources are available through the appropriate university department or office.,Academic Resources,faq,advanced,undergraduate
623,How do I reset my password?,How do I reset my password?,"To complete this process, students should first log into the student portal and navigate to the appropriate section. Detailed instructions and forms are available online. For additional assistance, contact the relevant department during business hours. Library services are designed to support academic success and research activities. Students should familiarize themselves with available resources and attend orientation sessions to maximize their library experience.",Library Resources,faq,intermediate,undergraduate
624,How do I apply for housing?,How do I apply for housing?,"The university provides comprehensive support for this process through multiple channels. Students can access resources online, schedule appointments with advisors, or attend information sessions held throughout the year. For technical issues, students should first try basic troubleshooting steps including clearing browser cache and checking internet connectivity. If problems persist, submit a help desk ticket with detailed error messages and screenshots.",Technical Support,faq,basic,graduate
625,What are the requirements for tuition payment?,What are the requirements for tuition payment?,"To complete this process, students should first log into the student portal and navigate to the appropriate section. Detailed instructions and forms are available online. For additional assistance, contact the relevant department during business hours. Additional information and support resources are available through the appropriate university department or office.",Housing Information,faq,advanced,all_students
626,How do I change my major?,How do I change my major?,This procedure requires advance planning and proper documentation. Students should review all requirements carefully and submit applications before established deadlines. Late submissions may not be accepted or may incur additional fees. Additional information and support resources are available through the appropriate university department or office.,Graduation Requirements,faq,intermediate,undergraduate
627,How do I schedule library services?,How do I schedule library services?,This service is available through the university website and student portal. Students must meet certain eligibility requirements and provide necessary documentation. Processing times vary depending on the request complexity. Additional information and support resources are available through the appropriate university department or office.,Event Management,faq,advanced,all_students
628,What is the procedure for transfer evaluation?,What is the procedure for transfer evaluation?,This procedure requires advance planning and proper documentation. Students should review all requirements carefully and submit applications before established deadlines. Late submissions may not be accepted or may incur additional fees. Library services are designed to support academic success and research activities. Students should familiarize themselves with available resources and attend orientation sessions to maximize their library experience.,Library Resources,faq,advanced,graduate
629,What are the policies regarding campus policies?,What are the policies regarding campus policies?,"The university provides comprehensive support for this process through multiple channels. Students can access resources online, schedule appointments with advisors, or attend information sessions held throughout the year. Financial aid applications require accurate and complete information. Students should submit all required documents by stated deadlines and respond promptly to any requests for additional information from the financial aid office.",Financial Aid,faq,intermediate,graduate
630,Where can I find disability services?,Where can I find disability services?,This service is available through the university website and student portal. Students must meet certain eligibility requirements and provide necessary documentation. Processing times vary depending on the request complexity. Additional information and support resources are available through the appropriate university department or office.,International Students,faq,basic,all_students
631,How can I resolve login problems?,How can I resolve login problems?,"To complete this process, students should first log into the student portal and navigate to the appropriate section. Detailed instructions and forms are available online. For additional assistance, contact the relevant department during business hours. Additional information and support resources are available through the appropriate university department or office.",Emergency Procedures,faq,basic,undergraduate
632,How can I access student handbook?,How can I access student handbook?,Students can complete this process independently through online systems or with assistance from university staff. Training materials and video tutorials are available to guide students through each step of the process. Additional information and support resources are available through the appropriate university department or office.,Safety & Security,faq,advanced,undergraduate
633,How do I apply for internships?,How do I apply for internships?,This service is available through the university website and student portal. Students must meet certain eligibility requirements and provide necessary documentation. Processing times vary depending on the request complexity. Additional information and support resources are available through the appropriate university department or office.,Administrative Procedures,faq,intermediate,graduate
634,How can I access disability services?,How can I access disability services?,This procedure requires advance planning and proper documentation. Students should review all requirements carefully and submit applications before established deadlines. Late submissions may not be accepted or may incur additional fees. Additional information and support resources are available through the appropriate university department or office.,IT Services,faq,basic,all_students
635,How can I update preferences?,How can I update preferences?,"To complete this process, students should first log into the student portal and navigate to the appropriate section. Detailed instructions and forms are available online. For additional assistance, contact the relevant department during business hours. Additional information and support resources are available through the appropriate university department or office.",Administrative Procedures,faq,intermediate,faculty
636,Where can I find writing center?,Where can I find writing center?,This procedure requires advance planning and proper documentation. Students should review all requirements carefully and submit applications before established deadlines. Late submissions may not be accepted or may incur additional fees. Additional information and support resources are available through the appropriate university department or office.,Student Support,faq,basic,all_students
637,How can I change privacy settings?,How can I change privacy settings?,"To complete this process, students should first log into the student portal and navigate to the appropriate section. Detailed instructions and forms are available online. For additional assistance, contact the relevant department during business hours. Additional information and support resources are available through the appropriate university department or office.",Research Guidelines,faq,advanced,graduate
638,How can I access emergency contacts?,How can I access emergency contacts?,This service is available through the university website and student portal. Students must meet certain eligibility requirements and provide necessary documentation. Processing times vary depending on the request complexity. Additional information and support resources are available through the appropriate university department or office.,Event Management,faq,intermediate,undergraduate
639,What are the requirements for ID card replacement?,What are the requirements for ID card replacement?,"The university provides comprehensive support for this process through multiple channels. Students can access resources online, schedule appointments with advisors, or attend information sessions held throughout the year. Additional information and support resources are available through the appropriate university department or office.",IT Services,faq,basic,graduate
640,How can I change notification preferences?,How can I change notification preferences?,"To complete this process, students should first log into the student portal and navigate to the appropriate section. Detailed instructions and forms are available online. For additional assistance, contact the relevant department during business hours. Additional information and support resources are available through the appropriate university department or office.",Account Management,faq,intermediate,all_students
641,How can I change notification preferences?,How can I change notification preferences?,"The university provides comprehensive support for this process through multiple channels. Students can access resources online, schedule appointments with advisors, or attend information sessions held throughout the year. Additional information and support resources are available through the appropriate university department or office.",Parking & Transportation,faq,intermediate,undergraduate
642,Where is the health center located?,Where is the health center located?,"To complete this process, students should first log into the student portal and navigate to the appropriate section. Detailed instructions and forms are available online. For additional assistance, contact the relevant department during business hours. Additional information and support resources are available through the appropriate university department or office.",Parking & Transportation,faq,advanced,all_students
643,What is the cost of tutoring?,What is the cost of tutoring?,"To complete this process, students should first log into the student portal and navigate to the appropriate section. Detailed instructions and forms are available online. For additional assistance, contact the relevant department during business hours. Additional information and support resources are available through the appropriate university department or office.",Research Guidelines,faq,basic,graduate
644,How can I update academic record?,How can I update academic record?,This procedure requires advance planning and proper documentation. Students should review all requirements carefully and submit applications before established deadlines. Late submissions may not be accepted or may incur additional fees. Additional information and support resources are available through the appropriate university department or office.,Event Management,faq,intermediate,undergraduate
645,What are the requirements for ID card replacement?,What are the requirements for ID card replacement?,This procedure requires advance planning and proper documentation. Students should review all requirements carefully and submit applications before established deadlines. Late submissions may not be accepted or may incur additional fees. Additional information and support resources are available through the appropriate university department or office.,Food Services,faq,basic,all_students
646,How do I cancel counseling?,How do I cancel counseling?,"The university provides comprehensive support for this process through multiple channels. Students can access resources online, schedule appointments with advisors, or attend information sessions held throughout the year. Additional information and support resources are available through the appropriate university department or office.",Graduation Requirements,faq,basic,graduate
647,How do I apply for research positions?,How do I apply for research positions?,Students can complete this process independently through online systems or with assistance from university staff. Training materials and video tutorials are available to guide students through each step of the process. Additional information and support resources are available through the appropriate university department or office.,Event Management,faq,basic,undergraduate
648,How do I cancel health services?,How do I cancel health services?,This service is available through the university website and student portal. Students must meet certain eligibility requirements and provide necessary documentation. Processing times vary depending on the request complexity. Additional information and support resources are available through the appropriate university department or office.,Food Services,faq,advanced,all_students
649,What are the steps to submit an appeal?,What are the steps to submit an appeal?,Students can complete this process independently through online systems or with assistance from university staff. Training materials and video tutorials are available to guide students through each step of the process. Additional information and support resources are available through the appropriate university department or office.,Event Management,faq,advanced,all_students
650,How do I apply for internships?,How do I apply for internships?,This procedure requires advance planning and proper documentation. Students should review all requirements carefully and submit applications before established deadlines. Late submissions may not be accepted or may incur additional fees. Additional information and support resources are available through the appropriate university department or office.,Research Guidelines,faq,intermediate,undergraduate
651,How can I resolve account access?,How can I resolve account access?,Students can complete this process independently through online systems or with assistance from university staff. Training materials and video tutorials are available to guide students through each step of the process. Additional information and support resources are available through the appropriate university department or office.,Event Management,faq,intermediate,faculty
652,What is the cost of library services?,What is the cost of library services?,"The university provides comprehensive support for this process through multiple channels. Students can access resources online, schedule appointments with advisors, or attend information sessions held throughout the year. Financial aid applications require accurate and complete information. Students should submit all required documents by stated deadlines and respond promptly to any requests for additional information from the financial aid office.",Financial Aid,faq,intermediate,undergraduate
653,What are the requirements for internship application?,What are the requirements for internship application?,This procedure requires advance planning and proper documentation. Students should review all requirements carefully and submit applications before established deadlines. Late submissions may not be accepted or may incur additional fees. Additional information and support resources are available through the appropriate university department or office.,Campus Life,faq,basic,undergraduate
654,Where is the health center located?,Where is the health center located?,This procedure requires advance planning and proper documentation. Students should review all requirements carefully and submit applications before established deadlines. Late submissions may not be accepted or may incur additional fees. Additional information and support resources are available through the appropriate university department or office.,Registration,faq,intermediate,undergraduate
655,What is the cost of tutoring?,What is the cost of tutoring?,This service is available through the university website and student portal. Students must meet certain eligibility requirements and provide necessary documentation. Processing times vary depending on the request complexity. Additional information and support resources are available through the appropriate university department or office.,Academic Resources,faq,advanced,graduate
656,Where do I get information about academic requirements?,Where do I get information about academic requirements?,"To complete this process, students should first log into the student portal and navigate to the appropriate section. Detailed instructions and forms are available online. For additional assistance, contact the relevant department during business hours. Additional information and support resources are available through the appropriate university department or office.",Safety & Security,faq,advanced,undergraduate
657,What are the hours for tutoring?,What are the hours for tutoring?,This service is available through the university website and student portal. Students must meet certain eligibility requirements and provide necessary documentation. Processing times vary depending on the request complexity. Additional information and support resources are available through the appropriate university department or office.,International Students,faq,intermediate,undergraduate
658,How do I apply for internships?,How do I apply for internships?,"To complete this process, students should first log into the student portal and navigate to the appropriate section. Detailed instructions and forms are available online. For additional assistance, contact the relevant department during business hours. Additional information and support resources are available through the appropriate university department or office.",Emergency Procedures,faq,advanced,graduate
659,How do I cancel health services?,How do I cancel health services?,This service is available through the university website and student portal. Students must meet certain eligibility requirements and provide necessary documentation. Processing times vary depending on the request complexity. Additional information and support resources are available through the appropriate university department or office.,International Students,faq,intermediate,faculty
660,How can I resolve account access?,How can I resolve account access?,This procedure requires advance planning and proper documentation. Students should review all requirements carefully and submit applications before established deadlines. Late submissions may not be accepted or may incur additional fees. Additional information and support resources are available through the appropriate university department or office.,Account Management,faq,advanced,undergraduate
661,How do I schedule health services?,How do I schedule health services?,This procedure requires advance planning and proper documentation. Students should review all requirements carefully and submit applications before established deadlines. Late submissions may not be accepted or may incur additional fees. Additional information and support resources are available through the appropriate university department or office.,International Students,faq,basic,graduate
662,What is the deadline for graduation application?,What is the deadline for graduation application?,"The university provides comprehensive support for this process through multiple channels. Students can access resources online, schedule appointments with advisors, or attend information sessions held throughout the year. Additional information and support resources are available through the appropriate university department or office.",Health & Wellness,faq,basic,undergraduate
663,What is the cost of library services?,What is the cost of library services?,"The university provides comprehensive support for this process through multiple channels. Students can access resources online, schedule appointments with advisors, or attend information sessions held throughout the year. Financial aid applications require accurate and complete information. Students should submit all required documents by stated deadlines and respond promptly to any requests for additional information from the financial aid office.",Financial Aid,faq,advanced,faculty
664,What is the deadline for tuition payment?,What is the deadline for tuition payment?,This procedure requires advance planning and proper documentation. Students should review all requirements carefully and submit applications before established deadlines. Late submissions may not be accepted or may incur additional fees. Additional information and support resources are available through the appropriate university department or office.,Career Development,faq,basic,all_students
665,How can I update academic record?,How can I update academic record?,Students can complete this process independently through online systems or with assistance from university staff. Training materials and video tutorials are available to guide students through each step of the process. Additional information and support resources are available through the appropriate university department or office.,Graduation Requirements,faq,basic,undergraduate
666,Who should I contact for payment issues?,Who should I contact for payment issues?,This procedure requires advance planning and proper documentation. Students should review all requirements carefully and submit applications before established deadlines. Late submissions may not be accepted or may incur additional fees. Additional information and support resources are available through the appropriate university department or office.,Student Support,faq,basic,faculty
667,What is the procedure for leave of absence?,What is the procedure for leave of absence?,Students can complete this process independently through online systems or with assistance from university staff. Training materials and video tutorials are available to guide students through each step of the process. Additional information and support resources are available through the appropriate university department or office.,Event Management,faq,advanced,undergraduate
668,How do I cancel tutoring?,How do I cancel tutoring?,"The university provides comprehensive support for this process through multiple channels. Students can access resources online, schedule appointments with advisors, or attend information sessions held throughout the year. Additional information and support resources are available through the appropriate university department or office.",Online Learning,faq,advanced,faculty
669,What are the hours for library services?,What are the hours for library services?,"The university provides comprehensive support for this process through multiple channels. Students can access resources online, schedule appointments with advisors, or attend information sessions held throughout the year. Additional information and support resources are available through the appropriate university department or office.",Account Management,faq,intermediate,all_students
670,How can I change account details?,How can I change account details?,This procedure requires advance planning and proper documentation. Students should review all requirements carefully and submit applications before established deadlines. Late submissions may not be accepted or may incur additional fees. All academic policies are outlined in the student handbook and are subject to periodic updates. Students are responsible for staying informed about current requirements and procedures through official university communications.,Academic Policies,faq,intermediate,all_students
671,How can I resolve technical errors?,How can I resolve technical errors?,Students can complete this process independently through online systems or with assistance from university staff. Training materials and video tutorials are available to guide students through each step of the process. Library services are designed to support academic success and research activities. Students should familiarize themselves with available resources and attend orientation sessions to maximize their library experience.,Library Resources,faq,basic,graduate
672,What is the procedure for tuition payment?,What is the procedure for tuition payment?,"To complete this process, students should first log into the student portal and navigate to the appropriate section. Detailed instructions and forms are available online. For additional assistance, contact the relevant department during business hours. Additional information and support resources are available through the appropriate university department or office.",Food Services,faq,advanced,faculty
673,What documents are needed for meal plan changes?,What documents are needed for meal plan changes?,"To complete this process, students should first log into the student portal and navigate to the appropriate section. Detailed instructions and forms are available online. For additional assistance, contact the relevant department during business hours. Additional information and support resources are available through the appropriate university department or office.",IT Services,faq,basic,faculty
674,How do I schedule library services?,How do I schedule library services?,This procedure requires advance planning and proper documentation. Students should review all requirements carefully and submit applications before established deadlines. Late submissions may not be accepted or may incur additional fees. Additional information and support resources are available through the appropriate university department or office.,Event Management,faq,advanced,all_students
675,What is the deadline for ID card replacement?,What is the deadline for ID card replacement?,This procedure requires advance planning and proper documentation. Students should review all requirements carefully and submit applications before established deadlines. Late submissions may not be accepted or may incur additional fees. Additional information and support resources are available through the appropriate university department or office.,International Students,faq,advanced,all_students
676,What are the requirements for ID card replacement?,What are the requirements for ID card replacement?,This procedure requires advance planning and proper documentation. Students should review all requirements carefully and submit applications before established deadlines. Late submissions may not be accepted or may incur additional fees. Additional information and support resources are available through the appropriate university department or office.,Campus Life,faq,advanced,undergraduate
677,What is the deadline for transfer evaluation?,What is the deadline for transfer evaluation?,"To complete this process, students should first log into the student portal and navigate to the appropriate section. Detailed instructions and forms are available online. For additional assistance, contact the relevant department during business hours. Additional information and support resources are available through the appropriate university department or office.",Emergency Procedures,faq,advanced,graduate
678,How do I cancel tutoring?,How do I cancel tutoring?,Students can complete this process independently through online systems or with assistance from university staff. Training materials and video tutorials are available to guide students through each step of the process. Additional information and support resources are available through the appropriate university department or office.,Event Management,faq,advanced,faculty
679,What are the hours for tutoring?,What are the hours for tutoring?,This procedure requires advance planning and proper documentation. Students should review all requirements carefully and submit applications before established deadlines. Late submissions may not be accepted or may incur additional fees. Additional information and support resources are available through the appropriate university department or office.,Student Services,faq,intermediate,graduate
680,What are the hours for counseling?,What are the hours for counseling?,"The university provides comprehensive support for this process through multiple channels. Students can access resources online, schedule appointments with advisors, or attend information sessions held throughout the year. Additional information and support resources are available through the appropriate university department or office.",Academic Resources,faq,basic,graduate
681,What is the procedure for study abroad application?,What is the procedure for study abroad application?,"The university provides comprehensive support for this process through multiple channels. Students can access resources online, schedule appointments with advisors, or attend information sessions held throughout the year. Additional information and support resources are available through the appropriate university department or office.",Safety & Security,faq,advanced,all_students
682,Where is the bookstore located?,Where is the bookstore located?,"To complete this process, students should first log into the student portal and navigate to the appropriate section. Detailed instructions and forms are available online. For additional assistance, contact the relevant department during business hours. Library services are designed to support academic success and research activities. Students should familiarize themselves with available resources and attend orientation sessions to maximize their library experience.",Library Resources,faq,basic,graduate
683,What documents are needed for ID card replacement?,What documents are needed for ID card replacement?,"The university provides comprehensive support for this process through multiple channels. Students can access resources online, schedule appointments with advisors, or attend information sessions held throughout the year. Library services are designed to support academic success and research activities. Students should familiarize themselves with available resources and attend orientation sessions to maximize their library experience.",Library Resources,faq,basic,all_students
684,How do I reset my password?,How do I reset my password?,Students can complete this process independently through online systems or with assistance from university staff. Training materials and video tutorials are available to guide students through each step of the process. Additional information and support resources are available through the appropriate university department or office.,Account Management,faq,advanced,graduate
685,Who should I contact for payment issues?,Who should I contact for payment issues?,This service is available through the university website and student portal. Students must meet certain eligibility requirements and provide necessary documentation. Processing times vary depending on the request complexity. Financial aid applications require accurate and complete information. Students should submit all required documents by stated deadlines and respond promptly to any requests for additional information from the financial aid office.,Financial Aid,faq,intermediate,all_students
686,Where is the gym located?,Where is the gym located?,This procedure requires advance planning and proper documentation. Students should review all requirements carefully and submit applications before established deadlines. Late submissions may not be accepted or may incur additional fees. Additional information and support resources are available through the appropriate university department or office.,Health & Wellness,faq,basic,all_students
687,What documents are needed for course withdrawal?,What documents are needed for course withdrawal?,"To complete this process, students should first log into the student portal and navigate to the appropriate section. Detailed instructions and forms are available online. For additional assistance, contact the relevant department during business hours. Additional information and support resources are available through the appropriate university department or office.",Academic Resources,faq,basic,graduate
688,How can I resolve login problems?,How can I resolve login problems?,This procedure requires advance planning and proper documentation. Students should review all requirements carefully and submit applications before established deadlines. Late submissions may not be accepted or may incur additional fees. Additional information and support resources are available through the appropriate university department or office.,Registration,faq,intermediate,undergraduate
689,How can I change privacy settings?,How can I change privacy settings?,This procedure requires advance planning and proper documentation. Students should review all requirements carefully and submit applications before established deadlines. Late submissions may not be accepted or may incur additional fees. Additional information and support resources are available through the appropriate university department or office.,Academic Planning,faq,advanced,undergraduate
690,How do I schedule counseling?,How do I schedule counseling?,This service is available through the university website and student portal. Students must meet certain eligibility requirements and provide necessary documentation. Processing times vary depending on the request complexity. Additional information and support resources are available through the appropriate university department or office.,Housing Information,faq,basic,all_students
